NOM;EQ_GESTIONNAIRE;NUMERO;LIB_OFF;ID_SECTEUR_POSTAL;EQ_VILLE;EQ_BIBLIOTHEQUE;EQ_MUSEE;EQ_CINEMA;EQ_GALERIE_LIEU_EXPOSITION;EQ_CONF_RECEPTION;EQ_NTA;EQ_ENSEIGNEMENT;EQ_SALLE_DE_SPECTACLE;EQ_CENTRE_CULTUREL;EQ_CA_MJC_MQ;EQ_CAFE_CONCERT;EQ_STUDIO_DANS_MUSIQUE;EQ_SECTEUR;EQ_QUARTIER;X_CC43;Y_CC43;X_WGS84;Y_WGS84
ESAV;Association;0056;RUE DU TAUR;31000;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574250.9997;2268610;1.4422847108532;43.6071058416671
ESPACE BAZACLE;Structure commerciale;0011;QU SAINT PIERRE;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.2 - Amidonniers - Caffarelli;1573454;2268340.9998;1.43247633307298;43.6045516175524
ESPACE BONNEFOY;Mairie de Toulouse - DGA Culture;0004;RUE DU FAUBOURG BONNEFOY;31500;TOULOUSE;No;No;No;Yes;No;No;No;Yes;Yes;No;No;Yes;4 - Toulouse Est;4.1 - Bonnefoy - Roseraie - Gramont;1575181.9997;2269616.0001;1.45358548825038;43.6163138885945
ESPACE CROIX BARAGNON;Mairie de Toulouse - DGA Culture;0024;RUE CROIX BARAGNON;31000;TOULOUSE;No;No;No;Yes;No;No;No;Yes;Yes;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574696.0002;2267792.0003;1.44798307533012;43.5998185733236
ESPACE DANSE DU CONSERVATOIRE DE TOULOUSE;Mairie de Toulouse - DGA Culture;0012;PL SAINT PIERRE;31000;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1573693.9999;2268284.0002;1.43546166833913;43.6040789306583
ESPACE DES DIVERSITES ET DE LA LAICITE;Mairie de Toulouse - Autre Direction;0038;RUE D AUBUISSON;31000;TOULOUSE;No;No;No;Yes;Yes;No;No;No;No;No;No;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1575118.0001;2268156.9999;1.45312555367702;43.6031733596667
ESPACE JOB;Mairie de Toulouse - DGA Culture;0105;RTE DE BLAGNAC;31200;TOULOUSE;No;No;No;No;Yes;No;Yes;Yes;No;Yes;No;Yes;3 - Toulouse Nord;3.2 - Sept Deniers - Ginestous;1571532.9998;2269744;1.40835735546538;43.616852401072
ESPACE ROGUET - MJC ROGUET;Autre institution publique;0009;RUE DE GASCOGNE;31300;TOULOUSE;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573025.9997;2267416.9998;1.42739016585698;43.5961643215819
ESPACE SAINT CYPRIEN - CHAPEAU ROUGE;Mairie de Toulouse - DGA Culture;0056;ALL CHARLES DE FITTE;31300;TOULOUSE;No;No;No;Yes;No;No;No;Yes;Yes;No;No;Yes;2 - Rive Gauche;2.1 - Saint Cyprien;1573315.0003;2267647.0002;1.43091548978465;43.5982827901506
ETPA - ECOLE DE PHOTOGRAPHIE;Structure commerciale;0007;RUE EUGENE LABICHE;31200;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;3 - Toulouse Nord;3.1 - Minimes - Barrière de Paris;1573667.9998;2270981.0001;1.43451721816905;43.6283454233055
FAIRFIELD CAFE;Structure commerciale;0110;AV JULES JULIEN;31400;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1574820.9999;2265509;1.45005262063977;43.5792938983889
FONDATION ESPACE ECUREUIL POUR L'ART CONTEMPORAIN;Structure commerciale;0003;PL DU CAPITOLE;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574358.9999;2268244.9997;1.44370600811245;43.6038391263602
FRICHE CULTURELLE DE L'IMPRIMERIE - ERNEST RENAN;Mairie de Toulouse - DGA Culture;0014;RUE ERNEST RENAN;31200;TOULOUSE;No;No;No;No;No;Yes;No;No;No;No;No;Yes;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1574516.0001;2270955;1.44502903587075;43.6282531894962
FRICHE CULTURELLE SAINT SIMON - LA VANNERIE;Mairie de Toulouse - DGA Culture;0001B;CHE NEUF;31100;TOULOUSE;No;No;No;No;No;Yes;No;No;No;No;No;Yes;6 - Toulouse Ouest;6.4 - Saint Simon;1569635.0002;2262894.9998;1.38647740604384;43.5548908308113
FROG AND ROSBIF;Structure commerciale;0014;RUE DE L INDUSTRIE;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1574957.0001;2268347.9998;1.45108813309783;43.6048655216635
GALERIE CAN'ART;Structure commerciale;0028;RUE DES POLINAIRES;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574329;2267579.9997;1.44348709071033;43.5978496088319
GALERIE DAUDET;Structure commerciale;0010;RUE DE LA TRINITE;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574453.0001;2267766.0002;1.44497992007397;43.599544147192
GALERIE DU CHÂTEAU D'EAU;Association;0001;RUE LAGANNE;31300;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573616.0003;2267084;1.43477263296161;43.5932667386596
GALERIE EXPRMNTL;Structure commerciale;0018;RUE DE LA BOURSE;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574246.0003;2267918.0003;1.4423817133272;43.6008775233225
GALERIE FABRICE GALVANI;Structure commerciale;0002;RUE PIERRE DE FERMAT;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574773.9998;2267663.9997;1.44897822724445;43.598679624573
GALERIE GRAAL;Structure commerciale;0039;RUE DE METZ;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574833;2267883.0003;1.44965877301287;43.6006602754496
GALERIE KANDLER;Structure commerciale;0014;RUE DE BAYARD;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1574682.9998;2268774.9998;1.44759712481601;43.6086626876676
GALERIE LES OREADES;Structure commerciale;0039;RUE PHARAON;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574390.0001;2267453.9997;1.4442713383679;43.5967258687943
GALERIE LULUMIRETTE;Association;0028;RUE CARAMAN;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1575172.9998;2268018.9998;1.45383812071224;43.6019405701065
GALERIE PASSAGE A L'ART;Association;0005;GRANDE-RUE SAINT NICOLAS;31300;TOULOUSE;No;No;No;Yes;No;No;Yes;No;No;No;No;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573714.9999;2267754.0001;1.43584395261117;43.5993128454858
GALERIE PINXIT;Structure commerciale;0002;PL SAINT ETIENNE;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574787.0002;2267775.0001;1.44911383309147;43.5996807092076
GALERIE SOURILLAN;Structure commerciale;0019;RUE THEODORE OZENNE;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574640.9998;2267395.0002;1.44739286205135;43.5962367080848
GARE AUX MORILLES;Structure commerciale;0007;CHE DES SILOS;31100;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;2 - Rive Gauche;2.2 - Croix de Pierre - Route d'Espagne;1572302.9998;2263085.0001;1.41944702315732;43.5570572022888
GAUMONT WILSON;Structure commerciale;0003;PL DU PDT THOMAS WILSON;31000;TOULOUSE;No;No;Yes;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574693;2268319.0002;1.44782533460037;43.6045606915568
GOETHE INSTITUT;Association;0004B;RUE CLEMENCE ISAURE;31000;TOULOUSE;No;No;No;Yes;No;No;Yes;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574204.0003;2267931;1.44185862474564;43.6009875011768
HALL 8 - PARC DES EXPOSITIONS;Mairie de Toulouse - Autre Direction;TOUT;ALL GABRIEL BIENES;31400;TOULOUSE;No;No;No;No;Yes;No;No;No;No;No;No;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1573776;2266098.0003;1.436980892196;43.5844202489134
HALLE AUX GRAINS;Mairie de Toulouse - DGA Culture;TOUT;PL DOMINIQUE MARTIN DUPUY;31000;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1575176;2267778.9999;1.45392997708087;43.5997812380615
HOTEL D'ASSEZAT - FONDATION BEMBERG;Association;TOUT;PL D ASSEZAT;31000;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574220.9998;2267831.0001;1.44209210365033;43.6000904127342
HOTEL DIEU;Mairie de Toulouse - Autre Direction;0002;RUE VIGUERIE;31300;TOULOUSE;No;No;No;Yes;Yes;No;No;No;No;No;No;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573767.9997;2267731.0002;1.43650555354195;43.599114742959
INSTITUT CATHOLIQUE DE TOULOUSE - ESPACE MUSEOGRAPHIQUE BACCRABERE - SALLE TOLOSA;Autre institution publique;0031;RUE DE LA FONDERIE;31000;TOULOUSE;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574290.9998;2267306.0001;1.44307942905077;43.595377470998
INSTITUT SUPERIEUR DES ARTS DE TOULOUSE - ISDAT;Structure mixte;0005;QU DE LA DAURADE;31000;TOULOUSE;No;No;No;Yes;No;No;Yes;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574031.9998;2267894.0001;1.4397371828098;43.6006257974846
INSTITUTO CERVANTES;Association;0031;RUE DES CHALETS;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1574185.9998;2269278.9998;1.44132596903333;43.6131154788592
LA COMEDIE DE TOULOUSE;Structure commerciale;0016;RUE SAINT GERMIER;31000;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1574162.9999;2269121;1.44107741393229;43.6116897615157
LA DYNAMO;Structure commerciale;0006;RUE AMELIE;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;1 - Toulouse Centre;1.1 - Capitole;1575312.9998;2268405.9997;1.45548371114985;43.6054464703074
LA FABRIQUE DU CIAM;Association;0005;ALL ANTONIO MACHADO;31100;TOULOUSE;No;No;No;Yes;No;No;Yes;Yes;No;No;No;No;6 - Toulouse Ouest;6.3 - Mirail - Reynerie - Bellefontaine;1571109;2265402.0001;1.40412726320771;43.5777054475588
LA LOUPIOTE;Structure commerciale;0039;RUE RECLUSANE;31300;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573394.0002;2267710.0002;1.43187916938536;43.5988630192289
LA MAISON BLANCHE;Structure commerciale;0010;RUE ARNAUD BERNARD;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;1 - Toulouse Centre;1.1 - Capitole;1574008.0003;2268905.0003;1.43920736348767;43.6097200274163
LA MEDIATHEQUE ASSOCIATIVE - MUSICOPHAGES;Association;0006;RUE DE LA BOURSE;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574260.0003;2267859.9997;1.44256839778461;43.6003578964032
L'AEROTHEQUE;Structure commerciale;TOUT;RUE MONTMORENCY;31200;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;3 - Toulouse Nord;3.1 - Minimes - Barrière de Paris;1573021.0003;2269381.9999;1.42687258631623;43.6138469564661
L'AVENUE;Structure commerciale;0100;AV DE LOMBEZ;31300;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;2 - Rive Gauche;2.4 - Fontaine Bayonne - Cartoucherie;1571908.0003;2267283.9998;1.41357779894647;43.5947782333335
LE BANANA;Structure commerciale;0009B;AV FREDERIC ESTEBE;31200;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;3 - Toulouse Nord;3.1 - Minimes - Barrière de Paris;1573837.0001;2269929.9998;1.43685325894328;43.618915604285
LE BIJOU;Structure commerciale;0123;AV DE MURET;31300;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;2 - Rive Gauche;2.2 - Croix de Pierre - Route d'Espagne;1573018.0001;2266109.9997;1.42759406029163;43.5844009235037
LE CACTUS;Structure commerciale;0013;BD LASCROSSES;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;1 - Toulouse Centre;1.1 - Capitole;1573837.0001;2269031.9999;1.43706022991517;43.6108343125962
LE CAFE POPULAIRE;Structure commerciale;0009;RUE DE LA COLOMBETTE;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1574985.9997;2268296.9999;1.4514589142476;43.6044113712729
LE CARSON CITY;Structure commerciale;0003;PL OLIVIER;31300;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573585.9997;2267635.0001;1.43427400328436;43.5982203053475
LE CHAMPAGNE;Structure commerciale;0004;RUE PEYRAS;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;1 - Toulouse Centre;1.1 - Capitole;1574372.9999;2267981.0003;1.44393994790502;43.6014656597305
LE CLASSICO;Structure commerciale;0037;RUE DES FILATIERS;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;1 - Toulouse Centre;1.1 - Capitole;1574369.9997;2267715.9999;1.44396358503202;43.5990803484924
LE COMMUNARD;Structure commerciale;0017;PL ARNAUD BERNARD;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;1 - Toulouse Centre;1.1 - Capitole;1574022.9999;2269023;1.43936598387228;43.610784442109
LE CRATERE;Association;0095;GRANDE-RUE SAINT MICHEL;31400;TOULOUSE;No;No;Yes;No;No;No;No;No;No;No;No;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1574512.0003;2266583.0002;1.44598154302503;43.588907806129
LE GRENIER THEATRE;Association;0014;IMP DE GRAMONT;31200;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;4 - Toulouse Est;4.1 - Bonnefoy - Roseraie - Gramont;1576766.0003;2271268.0001;1.47283386046715;43.631441418067
LE LIDO - CENTRE DES ARTS DU CIRQUE;Mairie de Toulouse - DGA Culture;0014;RUE DE GAILLAC;31500;TOULOUSE;No;No;No;No;No;No;Yes;Yes;No;No;No;No;4 - Toulouse Est;4.2 - Jolimont - Soupetard - Bonhoure;1577062.9998;2270407.0001;1.47670704168556;43.6237415990113
LE MANDALA;Structure commerciale;0023;RUE DES AMIDONNIERS;31000;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;1 - Toulouse Centre;1.2 - Amidonniers - Caffarelli;1573084.9999;2268501.0002;1.42786951413008;43.6059294385674
LE METRO;Structure commerciale;TOUT;ALL DE BELLEFONTAINE;31100;TOULOUSE;No;No;Yes;No;No;No;No;No;No;No;No;No;6 - Toulouse Ouest;6.3 - Mirail - Reynerie - Bellefontaine;1570853.0002;2263986.9998;1.40129171550643;43.5649276513574
LE METRONUM;Mairie de Toulouse - DGA Culture;TOUT;RPT MADAME DE MONDONVILLE;31200;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;Yes;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1574948.0002;2272355;1.45006103513521;43.6409238754189
LE REX DE L'HUMOUR;Structure commerciale;0015;AV HONORE SERRES;31000;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;1 - Toulouse Centre;1.2 - Amidonniers - Caffarelli;1573940.9998;2269154.9997;1.43831998571012;43.6119586226292
LE SAINT DES SEINS;Structure commerciale;0005;PL SAINT PIERRE;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;1 - Toulouse Centre;1.1 - Capitole;1573772.0002;2268214.9998;1.43644353179362;43.6034710490694
LE VENT DU SUD;Association;0170;AV DE LESPINET;31400;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;5 - Toulouse Sud-Est;5.1 - Pont des Demoiselles - Montaudran - La Terrasse;1576721.9997;2264891.0001;1.47372429768424;43.574045539462
LES ABATTOIRS - MUSEE D'ART MODERNE ET CONTEMPORAIN - FRAC MIDI-PYRENEES;Structure mixte;0076;ALL CHARLES DE FITTE;31300;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573165.0001;2267917;1.42899553318393;43.6006873543904
LES ATELIERS MUSICAUX;Association;0001;RUE QUILMERY;31300;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573601;2267808.9998;1.43441959192524;43.5997886897138
LES JARDINS DU MUSEUM - LA MAOURINE;Mairie de Toulouse - DGA Culture;0024;AV MAURICE BOURGES MAUNOURY;31200;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1574971.9997;2271445;1.45056642552915;43.6327386184583
LES METS'TISSES;Structure commerciale;0001;RUE DENIS PAPIN;31500;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;4 - Toulouse Est;4.2 - Jolimont - Soupetard - Bonhoure;1575515.0002;2268377.0001;1.45799195037046;43.6052188928313
LIEU COMMUN / PLAN 9;Association;0025;RUE D ARMAGNAC;31500;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;4 - Toulouse Est;4.1 - Bonnefoy - Roseraie - Gramont;1575389.9998;2269677.9998;1.4561477800865;43.6169062705428
L'UTOPIA;Association;0024;RUE MONTARDY;31000;TOULOUSE;No;No;Yes;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574607.9997;2268260;1.4467861884349;43.604015593419
MAISON DE L'OCCITANIE;Association;0011;RUE MALCOUSINAT;31000;TOULOUSE;No;No;No;Yes;No;No;Yes;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574311.9998;2267897.0003;1.44320383092455;43.6006995494228
MAISON DE QUARTIER - SALLE BARCELONE;Mairie de Toulouse - Autre Direction;0022;ALL DE BARCELONE;31000;TOULOUSE;No;No;No;No;Yes;No;No;No;No;No;No;No;1 - Toulouse Centre;1.2 - Amidonniers - Caffarelli;1573529.9997;2268471.0003;1.43338749623314;43.6057342820765
MAISON DE QUARTIER ACHIARY;Association;0042;RUE HENRIETTE ACHIARY;31500;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;4 - Toulouse Est;4.3 - Côte Pavée - l’Hers - La Terrasse;1576801.9999;2267827.9999;1.47405412980422;43.60048977912
MAISON DE QUARTIER AMOUROUX;Mairie de Toulouse - DGA Culture;0070;CHE MICHOUN;31500;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;4 - Toulouse Est;4.1 - Bonnefoy - Roseraie - Gramont;1576383.0002;2270732.9999;1.46820949127412;43.6265640691502
MAISON DE QUARTIER CROIX DAURADE;Mairie de Toulouse - DGA Culture;0007;RUE FRANCIS LOPEZ;31200;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1575963.9998;2271844;1.46276675332945;43.6364933138223
MAISON DE QUARTIER DE L'HERS;Association;0056;CHE DU CHATEAU DE L HERS;31500;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;4 - Toulouse Est;4.3 - Côte Pavée - l’Hers - La Terrasse;1577608.0002;2267801.0002;1.48404121036693;43.600378135137
MAISON DE QUARTIER DE POUVOURVILLE;Association;0004;IMP DE SARRANGINES;31400;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;5 - Toulouse Sud-Est;5.2 - Rangueil - Sauzelong - Pech David - Pouvourville;1574798;2262299.0002;1.45050090708318;43.5504020125083
MAISON DE QUARTIER DES ARENES ROMAINES;Mairie de Toulouse - DGA Culture;0107;AV DES ARENES ROMAINES;31300;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;6 - Toulouse Ouest;6.1 - Arènes Romaines - Saint Martin du Touch;1570608.0002;2269563.9999;1.39694238912572;43.6150742596555
MAISON DE QUARTIER DES PRADETTES;Mairie de Toulouse - DGA Culture;TOUT;RUE FERDINAND DE LESSEPS;31100;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;6 - Toulouse Ouest;6.2 - Lardenne - Pradettes - Basso Cambo;1569467.9998;2265572;1.38377359861781;43.5789529601741
MAISON DE QUARTIER DU GRAND SELVE;Mairie de Toulouse - DGA Culture;TOUT;ALL DE GRAND SELVE;31200;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;3 - Toulouse Nord;3.3 - Lalande - Grand Selve;1575020.9997;2273265;1.45075763788468;43.6491252109703
